time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448750000	19.6719	15.4375	4.87539	1.99874	0.661683	radar	7.44907	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.632	15.6417	4.85099	2.0106	0.642022	lidar	4.72452	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5324	15.8558	4.84589	2.03538	0.624987	radar	1.70495	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4306	16.0626	4.83776	2.0643	0.623703	lidar	0.249164	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.325	16.2775	4.83442	2.07554	0.574403	radar	2.14689	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2112	16.4595	4.8131	2.10684	0.580512	lidar	1.83579	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.0872	16.6622	4.81104	2.13601	0.581667	radar	0.405117	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	18.9638	16.8602	4.80632	2.16295	0.580028	lidar	0.105866	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8059	17.0488	4.81243	2.22548	0.662247	radar	5.8275	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6499	17.2562	4.82765	2.25678	0.657982	lidar	0.889272	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5421	17.4698	4.82113	2.23307	0.531402	radar	6.53196	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3424	17.6418	4.82933	2.27806	0.55029	lidar	3.49978	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2033	17.8366	4.8258	2.27725	0.484159	radar	2.31835	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0718	18.0232	4.8178	2.29226	0.47522	lidar	1.03595	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.892	18.1799	4.81429	2.33919	0.524227	radar	2.24836	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7504	18.334	4.79147	2.36153	0.522894	lidar	1.88624	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6107	18.521	4.78799	2.36723	0.489738	radar	6.72442	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4294	18.6882	4.79309	2.39349	0.491064	lidar	0.118337	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2432	18.8327	4.78899	2.43097	0.517547	radar	1.99271	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.077	18.9734	4.77271	2.45579	0.518275	lidar	0.900556	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9085	19.144	4.77502	2.46635	0.492518	radar	2.8526	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.6953	19.2546	4.76777	2.50734	0.511319	lidar	2.94817	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5067	19.4051	4.77244	2.53185	0.516246	radar	3.04288	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.2989	19.5498	4.78409	2.55709	0.514265	lidar	0.451666	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0714	19.6356	4.77828	2.61093	0.562398	radar	10.2826	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8739	19.7717	4.78175	2.63129	0.553459	lidar	0.646861	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6798	19.9014	4.77528	2.63234	0.491337	radar	3.27541	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4663	20.0406	4.78993	2.64963	0.481556	lidar	1.12481	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.262	20.1769	4.79631	2.66025	0.459448	radar	5.59663	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0716	20.3106	4.79341	2.67056	0.445831	lidar	1.75733	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8423	20.3912	4.7929	2.71069	0.477685	radar	2.23527	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6305	20.5079	4.79676	2.72694	0.468898	lidar	0.607548	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
