time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010493349642	100.065	16.9763	1.21244	-0.366096	0.137875	radar	1.90038	100.441	16.9521	100.117	17.0001	0.944242	-0.512134
1477010494349642	101.171	16.543	1.32652	-0.22377	0.13863	lidar	0.444422	101.204	16.5368	101.065	16.497	0.991362	-0.513687
1477010494349642	101.159	16.5346	1.26966	-0.328102	-0.0020413	radar	0.154838	101.169	16.4353	101.065	16.497	0.991362	-0.513687
1477010495349642	102.352	16.3959	1.34655	0.133536	0.277752	lidar	0.635413	102.387	16.3992	102.063	15.9949	1.04911	-0.512803
1477010495349642	102.282	16.3856	1.2526	0.0675469	0.231693	radar	1.34702	102.081	15.8359	102.063	15.9949	1.04911	-0.512803
1477010496349642	103.012	15.3913	1.2128	-1.3485	-0.741375	lidar	2.00301	103.003	15.353	103.119	15.4967	1.11708	-0.508169
1477010496349642	102.947	15.4535	1.24343	-0.618528	0.123031	radar	2.4189	102.776	15.1195	103.119	15.4967	1.11708	-0.508169
1477010497349642	104.095	15.2427	1.22967	0.0598461	0.487309	lidar	0.71566	104.114	15.2708	104.244	15.0064	1.19469	-0.498349
1477010497349642	104.056	15.2298	1.23643	0.0278044	0.47504	radar	0.679522	103.905	14.7607	104.244	15.0064	1.19469	-0.498349
1477010498349642	105.504	14.4721	1.39558	-1.12737	-0.543261	lidar	2.41613	105.541	14.4412	105.447	14.5293	1.28111	-0.481861
1477010498349642	105.447	14.5172	1.4633	-0.597632	0.103643	radar	1.54637	105.316	14.0026	105.447	14.5293	1.28111	-0.481861
1477010499349642	106.799	14.042	1.53823	-0.131343	0.347201	lidar	0.474222	106.831	14.0482	106.737	14.0724	1.37529	-0.457255
1477010499349642	106.747	14.0317	1.52894	-0.145747	0.368744	radar	1.04904	106.439	14.2401	106.737	14.0724	1.37529	-0.457255
1477010500349642	108.07	13.6674	1.60568	-0.172451	0.117114	lidar	0.258899	108.084	13.6604	108.122	13.644	1.47592	-0.423202
1477010500349642	108.083	13.674	1.65202	-0.103887	0.204184	radar	0.10352	108.131	13.6844	108.122	13.644	1.47592	-0.423202
1477010501349642	109.519	13.5711	1.71266	0.0666845	0.181045	lidar	0.192076	109.534	13.5714	109.606	13.2536	1.58144	-0.378583
1477010501349642	109.484	13.5658	1.68477	0.0511545	0.168429	radar	0.318506	109.388	13.1556	109.606	13.2536	1.58144	-0.378583
1477010502349642	111.048	12.6028	1.74945	-1.11233	-0.644596	lidar	1.37795	111.063	12.5814	111.196	12.9118	1.69008	-0.322574
1477010502349642	111.121	12.6731	1.83254	-0.47109	0.206905	radar	3.21629	111.426	12.9557	111.196	12.9118	1.69008	-0.322574
1477010503349642	112.885	12.4712	1.87289	0.165995	0.506045	lidar	0.644002	112.913	12.4877	112.893	12.6299	1.7999	-0.254723
1477010503349642	112.88	12.4682	1.88381	0.156078	0.492941	radar	0.0493526	112.797	12.8241	112.893	12.6299	1.7999	-0.254723
1477010504349642	114.778	12.5551	1.95213	-0.0809802	0.0216853	lidar	0.803567	114.801	12.5506	114.699	12.4195	1.90891	-0.175007
1477010504349642	114.799	12.5602	1.99161	-0.0528637	0.0651004	radar	0.158336	114.916	12.3187	114.699	12.4195	1.90891	-0.175007
1477010505349642	116.669	12.1084	2.07948	-0.318002	-0.138176	lidar	0.478111	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683
1477010505349642	116.71	12.1292	2.19009	-0.119167	0.14355	radar	0.758572	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683
1477010506349642	118.915	11.9978	2.33267	0.119418	0.203295	lidar	0.977634	118.953	12.0009	118.628	12.2586	2.11648	0.0177712
1477010506349642	118.91	11.998	2.3336	0.119083	0.202919	radar	0.018021	118.85	12.4063	118.628	12.2586	2.11648	0.0177712
1477010507349642	120.691	12.2922	2.35063	0.229241	0.143072	lidar	0.0383024	120.695	12.2918	120.743	12.3289	2.21139	0.128528
1477010507349642	120.736	12.2955	2.37926	0.209418	0.11851	radar	0.49618	120.934	12.1905	120.743	12.3289	2.21139	0.128528
1477010508349642	123.536	12.8256	2.51056	0.0447548	-0.0597859	lidar	1.81385	123.568	12.8297	122.95	12.5114	2.29835	0.246599
1477010508349642	123.459	12.8186	2.53114	0.0640912	-0.0411819	radar	1.43063	123.142	12.7694	122.95	12.5114	2.29835	0.246599
1477010509349642	124.9	12.7757	2.50365	-0.0530127	-0.0898207	lidar	0.0890811	124.894	12.7743	125.242	12.8125	2.37624	0.369827
1477010509349642	124.999	12.7915	2.6346	0.0415424	0.0380522	radar	2.50972	125.376	12.9964	125.242	12.8125	2.37624	0.369827
1477010510349642	127.829	13.321	2.73115	0.412457	0.2448	lidar	1.17587	127.853	13.3273	127.609	13.2365	2.44434	0.495787
1477010510349642	127.764	13.307	2.77673	0.338342	0.123834	radar	1.122	127.506	13.153	127.609	13.2365	2.44434	0.495787
1477010511349642	129.94	13.6989	2.75108	0.0974696	-0.107787	lidar	0.148337	129.947	13.6963	130.042	13.7853	2.50232	0.621879
1477010511349642	130.016	13.7053	2.7141	0.07984	-0.119771	radar	1.4877	130.334	13.781	130.042	13.7853	2.50232	0.621879
1477010512349642	132.088	14.4996	2.7192	0.54159	0.254266	lidar	0.273017	132.092	14.507	132.53	14.458	2.55028	0.74543
1477010512349642	132.156	14.4921	2.80852	0.390834	0.00389822	radar	1.31195	132.447	14.3423	132.53	14.458	2.55028	0.74543
1477010513349642	135.027	15.0403	2.93975	-0.0648426	-0.300867	lidar	1.66165	135.074	15.0475	135.066	15.2513	2.58865	0.863795
1477010513349642	135.038	15.0386	2.9168	-0.0859055	-0.336571	radar	0.0567973	135.127	14.6575	135.066	15.2513	2.58865	0.863795
1477010514349642	137.554	16.2013	2.83126	0.763904	0.432518	lidar	1.17548	137.561	16.2147	137.639	16.1592	2.61821	0.974442
1477010514349642	137.573	16.1735	2.93455	0.411909	-0.188305	radar	1.25402	137.653	16.5145	137.639	16.1592	2.61821	0.974442
1477010515349642	140.297	17.0036	3.08083	0.12381	-0.265215	lidar	0.50121	140.331	17.008	140.242	17.1733	2.63994	1.07503
1477010515349642	140.31	17.0061	3.09372	0.121553	-0.267449	radar	0.0652763	140.305	17.5379	140.242	17.1733	2.63994	1.07503
1477010516349642	142.883	17.9841	3.11809	0.526997	0.171693	lidar	0.417213	142.888	17.9918	142.868	18.2829	2.65497	1.16346
1477010516349642	142.837	17.9714	3.15981	0.436328	0.0268858	radar	0.580152	142.626	18.1458	142.868	18.2829	2.65497	1.16346
1477010517349642	145.38	19.1579	3.20664	0.391035	-0.0216948	lidar	0.146073	145.392	19.1617	145.51	19.4754	2.66445	1.23795
1477010517349642	145.463	19.168	3.22858	0.365522	-0.0454939	radar	1.7007	145.789	19.3785	145.51	19.4754	2.66445	1.23795
1477010518349642	148.236	20.4696	3.31029	0.425554	0.0248596	lidar	0.390331	148.251	20.4754	148.163	20.7364	2.66951	1.29702
1477010518349642	148.23	20.4725	3.26683	0.481469	0.11754	radar	0.069867	148.146	20.9376	148.163	20.7364	2.66951	1.29702
1477010519349642	150.676	22.1083	3.3237	0.631883	0.139925	lidar	0.193579	150.686	22.1142	150.825	22.0502	2.67111	1.33953
1477010519349642	150.667	22.1007	3.37201	0.532586	-0.0390273	radar	0.158065	150.649	21.8148	150.825	22.0502	2.67111	1.33953
1477010520349642	153.407	23.4862	3.4192	0.379561	-0.113723	lidar	0.166987	153.422	23.4909	153.491	23.3999	2.66999	1.3647
1477010520349642	153.396	23.4867	3.34334	0.462327	0.0369535	radar	0.216788	153.466	22.9115	153.491	23.3999	2.66999	1.3647
1477010521349642	156.038	24.8052	3.37795	0.424961	-0.0115485	lidar	0.162297	156.047	24.8084	156.159	24.7682	2.66666	1.37208
1477010521349642	156.035	24.8115	3.28159	0.541442	0.184211	radar	0.269928	156.009	25.0678	156.159	24.7682	2.66666	1.37208
1477010522349642	158.889	26.0268	3.30232	0.283546	-0.104761	lidar	0.521988	158.905	26.0308	158.827	26.1372	2.66127	1.36157
1477010522349642	158.918	26.0315	3.30168	0.276529	-0.107451	radar	0.201408	159.014	26.1903	158.827	26.1372	2.66127	1.36157
1477010523349642	161.408	27.4198	3.34965	0.624114	0.190139	lidar	0.226144	161.412	27.4256	161.493	27.4891	2.65371	1.33344
1477010523349642	161.445	27.4275	3.34465	0.637448	0.213909	radar	0.332249	161.529	27.8454	161.493	27.4891	2.65371	1.33344
1477010524349642	163.634	28.7812	3.22536	0.595573	0.0453735	lidar	0.283099	163.625	28.7683	164.155	28.8064	2.64354	1.28825
1477010524349642	163.742	28.7978	3.25141	0.553462	0.0103435	radar	2.89387	164.116	29.315	164.155	28.8064	2.64354	1.28825
1477010525349642	166.789	30.1915	3.37806	0.266332	-0.184904	lidar	1.34912	166.828	30.2062	166.809	30.0721	2.63006	1.22694
1477010525349642	166.761	30.1859	3.26946	0.318882	-0.100806	radar	0.443128	166.748	29.7121	166.809	30.0721	2.63006	1.22694
